Chemical Engineering                    ,"
                
                    CH E      5. Introduction to Chemical Engineering Design                                                                                                                                                                                      
                
                
		
                    
                        
                            (3)
                            DOHERTY, SHELL, CHADA
                            
                        
                        
                            
                            Enrollment Comments: Cross-listed with ChE W 5
                        
                    
                    
                        Introduction to the design and analysis of processes involving chemical change in the context of chemical and biomolecular engineering. Students learn mathematical, empirical, and conceptual strategies to analyze chemical processes to assess product quality, economics, safety, and   environmental issues. Focus topics include an overview of chemical and biomolecular engineering, evaluating and analyzing data, flowsheets, material and energy balances, economics, and unit operations.                                                                                                                                                                                                                                                                         
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E     10. Material and Energy Balances                                                                                                                                                                                                     
                
                
		
                    
                        
                            (3)
                            GORDON, CHADA
                            
                        
                        
                             Prerequisite: Chemical Engineering 5 (may be taken concurrently); Chemistry 1A-B-C or   2A-B-C; Mathematics 2A or 3A, Mathematics 2B or 3B and Mathematics 4A or 4AI                                                                                                                                                                                                                                 
                            Enrollment Comments: Space may be limited and registration priority will be given to Chemical Engineering and COE majors.
                        
                    
                    
                        Elementary principles and problem solving skills required for quantitative analysis of chemical processes. Topics to be covered include macroscopic material and energy balances, reaction stoichiometry, elementary thermodynamics, and phase equilibria associated with chemical engineering processes and unit operations.                                                                                                                                                                                                                                                                                                                                                                                                                                                 
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E     99. Introduction to Research                                                                                                                                                                                                         
                
                
		
                    
                        
                            (1-3)
                            STAFF
                            
                        
                        
                             Prerequisite: Consent of instructor and undergraduate advisor.                                                                                                                                                                                                                                                                                                                                       
                            Enrollment Comments: May be repeated for credit to a maximum of 6 units. Students are limited   to5 units per quarter and 30 units total in all 98/99/198/199/199DC/199RA  courses combined.
                        
                    
                    
                        Directed study, normally experimental, to be arranged with individual      faculty members. Course offers exceptional students an opportunity to      participate in a research group.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    102. 
                        Biomaterials and Biosurfaces                                                                                                                                                                                                     
                
                
		
                    (3)
                        ISRAELACHVILI 
                            
                            Recommended Preparation:  Basic physical chemistry, chemistry, physics, thermodynamics and   biology.Enrollment Comments: Not open for credit to students who have completed Chemical Engineering    121.
                    
                        Fundamentals of natural and artificial biomaterials and   biosurfaces with emphasis on molecular level structure and   function and their             interactions with the body. Design issues   of grafts and biopolymers.     Basic biological, biophysical and   biochemical systems reviewed for       nonbiologists.                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    107. 
                        Introduction to Biological Processing                                                                                                                                                                                            
                
                
		
                    (3)
                        O'MALLEY 
                             Prerequisite: Chemical Engineering 10                                                                                                                                                                                                                                                                                                                                                                
                            
                    
                        Familiarizes engineering students with biological processing and           production at multiple scales. Chemical engineering principles will be     infused with key biological concepts, including an introduction to         biochemistry, cell biology, and molecular biology.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    110A. 
                        Chemical Engineering Thermodynamics                                                                                                                                                                                              
                
                
		
                    (3)
                        SHELL 
                             Prerequisite: Chemical Engineering 5; Chemical Engineering 10; Mathematics 4B or 4BI.                                                                                                                                                                                                                                                                                                                
                            Enrollment Comments: Space may be limited and registration priority will be given to Chemical Engineering and CoE majors.
                    
                        Use of the laws of thermodynamics to analyze processes encountered in engineering practice, including cycles and flows. Equations-of-state for describing properties of fluids and mixtures. Applications, including engines, turbines, refrigeration and power plant cycles, phase equilibria, and chemical-reaction equilibria.                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    110B. 
                        Chemical Engineering Thermodynamics                                                                                                                                                                                              
                
                
		
                    (3)
                        HAN, SCOTT 
                             Prerequisite: Chemical Engineering 110A with a minimum grade of C-; Mathematics 4B or   4BI.                                                                                                                                                                                                                                                                                                         
                            Recommended Preparation:  Space may be limited and registration priority will be given to Chemical Engineering and CoE majors.
                    
                        Extension of Chemical Engineering 110A to cover mixtures and multiphase equilibrium. Liquid-vapor separations calculations are emphasized. Introduction to equations of state for mixtures.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    118. 
                        Technical Communication of Chemical Engineering                                                                                                                                                                                  
                
                
		
                    (1)
                        GORDON 
                             Prerequisite: Chemical Engineering 110A                                                                                                                                                                                                                                                                                                                                                              
                            
                    
                        Provides an introduction to technical communication in the form of writing reports and oral presentations. Emphasis placed on how to analyze and present data; critical thinking; organization, logic and constructing a technical narrative; literature searching and citations for written reports; and how to give oral presentations. Includes various lectures on technical communication, individual and group assignments, and peer-review exercises.                                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    119. 
                        Current Events in Chemical Engineering                                                                                                                                                                                           
                
                
		
                    (1)
                        STAFF 
                             Prerequisite: Chemical Engineering 110A.                                                                                                                                                                                                                                                                                                                                                             
                            
                    
                        Assigned readings in technical journals on current events of interest to   chemical engineers. Student groups present oral reports on reading         assignments   pertaining to new technologies, discoveries, industry        challenges,   society/government issues, professional and ethical          responsibilites.                                                                                                                                                                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    120A. 
                        Transport Processes                                                                                                                                                                                                              
                
                
		
                    (4)
                        SQUIRES, MITRAGOTRI 
                             Prerequisite: Chemical Engineering 10 with a minimum grade of C- (may be taken           concurrently); Mathematics 4B or 4BI; Mathematics 6A or 6AI and            Mathematics 6B.                                                                                                                                                                                                                  
                            
                    
                        Introductory course in conceptual understanding and   mathematical         analysis of   problems in fluid dynamics of relevance to Chemical          Engineering.   Emphasis is   placed on performing microscopic and          macroscopic   mathematical   analysis to   understand fluid motion in      response to forces.                                                                                                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    120B. 
                        Transport Processes                                                                                                                                                                                                              
                
                
		
                    (3)
                        HELGESON, O'MALLEY, SQUIRES 
                             Prerequisite: Chemical Engineering 10 with minimum grade of C-; Chemical Engineering   110A with minimum grade of C- (may be taken concurrently); Chemical   Engineering 120A.                                                                                                                                                                                                                       
                            
                    
                        Introductory course in the mathematical analysis of conductive, convective and   radiative heat transfer with practical applications to design of heat exchange   equipment and use.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    120C. 
                        Transport Processes                                                                                                                                                                                                              
                
                
		
                    (3)
                        PETERS, DEY, SQUIRES 
                             Prerequisite: Chemical Engineering 10 with a minimum grade of C-; Chemical Engineering   110A with minimum grade of C-; Chemical Engineering 110B (may be taken   concurrently) and Chemical Engineering 120B.                                                                                                                                                                                       
                            
                    
                        Introductory course in the fundamentals of mass transfer with applications to   the design of mass transfer equipment.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    121. 
                        Colloids and Biosurfaces                                                                                                                                                                                                         
                
                
		
                    (3)
                        ISRAELACHVILI 
                            
                            Recommended Preparation:  Basic physical chemistry, chemistry, physics, thermodynamics and biology.Enrollment Comments: Not open for credit to students who have completed Chemical Enginerring    102.
                    
                        Basic forces and interactions between atoms, molecules, small particles    and   extended surfaces. Special features and interactions associated with (soft)   biological molecules, biomaterials and surfaces: lipids,          proteins, fibrous   molecules (DNA), biological membranes, hydrophobic and hydrophilic   interactions, bio-specific and non-equilibrium interactions.                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    124. 
                        Advanced Topics in Transport Phenomena/Safety                                                                                                                                                                                    
                
                
		
                    (3)
                        THEOFANOUS 
                             Prerequisite: Chemical Engineering 120A-B-C; or, Mechanical Engineering 151A-B and       Mechanical Engineering 152A.                                                                                                                                                                                                                                                                                
                            Enrollment Comments: Same course as Mechanical Engineering 124.
                    
                        Hazard identification and assessments, runaway reactions, emergency        relief.Plant accidents and saftey issues. Dispersion and consequences of   releases.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    125. 
                        Principles of Bioengineering                                                                                                                                                                                                     
                
                
		
                    (3)
                        MITRAGOTRI 
                            
                            Enrollment Comments: Not open for credit to students who have completed Chemical Engineering    125A-B.
                    
                        Applications of engineering to biological and medical systems.             Introductionto drug delivery, tissue engineering, and modern biomedical    devices. Design and applications of these systems are discussed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    126. 
                        Non-Newtonian Fluids, Soft Materials and Chemical Products                                                                                                                                                                       
                
                
		
                    (3)
                        SQUIRES, HELGESON 
                             Prerequisite: Chemical Engineering 120C (may be taken concurrently).                                                                                                                                                                                                                                                                                                                                 
                            
                    
                        Overview of soft materials (suspensions, gels, polymers, surfactants, emulsions, powders and granules) that arise in diverse industries, including consumer products, foods, advanced materials, biotechnology, and mineral and energy production. Influence of non-Newtonian rheology (shear-thickening and thinning, viscoelasticity, extension-thickening, yield stresses, normal stress differences, and metastability) upon handling, processing, production, and performance of chemical products. Strategies to design chemical products that meet performance targets, and to scale-up production. Real-world case studies and classroom demonstrations.                                                                                                              
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    128. 
                        Separation Processes                                                                                                                                                                                                             
                
                
		
                    (3)
                        SCOTT 
                             Prerequisite: Chemical Engineering 10, and 110A-B; open to Engineering majors only.                                                                                                                                                                                                                                                                                                                  
                            
                    
                        Basic principles and design techniques of equilibrium-stage separation     processes. Emphasis is placed on binary distillation, liquid-liquid        extraction, and multicomponent distillation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    132A. 
                        Analytical Methods in Chemical Engineering                                                                                                                                                                                       
                
                
		
                    (4)
                        FREDRICKSON, GORDON 
                             Prerequisite: Mathematics 4B or 4BI; Mathematics 6A or 6AI.                                                                                                                                                                                                                                                                                                                                          
                            
                    
                        Develop analytical tools to solve elementary partial   differential        equations and   boundary value problems. Separation of variables, Laplace  transforms,   Sturm-  Liouville theory, generalized Fourier analysis, and  computer math tools.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    132B. 
                        Computational Methods in Chemical Engineering                                                                                                                                                                                    
                
                
		
                    (3)
                        FREDRICKSON, GORDON 
                             Prerequisite: Mathematics 4B or 4BI; Mathematics 6A or 6AI; Mathematics 6B and Engineering 3.                                                                                                                                                                                                                                                                                                        
                            
                    
                        Numerical methods for solution of linear and nonlinear algebraic equations, optimization, interpolation, numerical integration and differentiation, initial-value problems in ordinary and partial differential equations, and boundary-value problems.  Emphasis on computational tools for chemical engineering applications.                                                                                                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    132C. 
                        Statistical Methods in Chemical Engineering                                                                                                                                                                                      
                
                
		
                    (3)
                        PETERS 
                             Prerequisite: Mathematics 4B or 4BI; Mathematics 6A or 6AI and Mathematics 6B.                                                                                                                                                                                                                                                                                                                       
                            
                    
                        Probability concepts and distributions, random variables,   error          analysis, point   estimation and confidence intervals, hypothesis testing, development   of   empirical chemical engineering models using regression  techniques,   design of   experiments, process monitoring based on         statistical   quality control   techniques.                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    140A. 
                        Chemical Reaction Engineering                                                                                                                                                                                                    
                
                
		
                    (3)
                        MCFARLAND, SCOTT 
                             Prerequisite: Chemical Engineering 10 with minimum grade of C-; Chemical Engineering     110A with a minimum grade of C-; Chemical Engineering 110B (may be taken   concurrently). Chemical Engineering 120A-B.                                                                                                                                                                                      
                            
                    
                        Fundamentals of chemical reaction engineering with emphasis on kinetics    of homogenous and heterogeneous reacting systems. A microkinetic           understanding of reaction rates is linked to reactor design, chemical      conversion, and selectivity. Batch and continuous reactor designs with     and without catalysts are examined.                                                                                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    140B. 
                        Chemical Reaction Engineering                                                                                                                                                                                                    
                
                
		
                    (3)
                        CHMELKA, MCFARLAND 
                             Prerequisite: Chemical Engineering 110A-B, 120A-B and 140A.                                                                                                                                                                                                                                                                                                                                          
                            
                    
                        Thermodynamics, kinetics, mass and energy transport considerations         associated with complex homogeneous and heterogeneous reacting systems.    Catalysts and catalytic reaction rates and mechanisms. Adsorption and      reaction at solid surfaces, including effects of diffusion in porous       materials.   Chemical reactors using heterogeneous catalysts.                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    141. 
                        The Science and Engineering of Energy Conversion                                                                                                                                                                                 
                
                
		
                    (3)
                        MCFARLAND 
                             Prerequisite: Chemical Engineering 110A and 140A or consent of instructor.                                                                                                                                                                                                                                                                                                                           
                            Enrollment Comments: Equivalent upper-division coursework in thermodynamics and kinetics from outside of   department will be considered.    Same course as CHEM 104.
                    
                        Framework for understanding the energy supply issues facing society with a   focus on the science, engineering, and economic principles of the major   alternatives.  Emphasis is on the physical and chemical fundamentals of   energy conversion technologies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    146. 
                        Heterogeneous Catalysis                                                                                                                                                                                                          
                
                
		
                    (3)
                        STAFF 
                             Prerequisite: Chemical Engineering 140A and B or consent of instructor.                                                                                                                                                                                                                                                                                                                              
                            
                    
                        Concepts and definitions. Applications of heterogeneous catalysis. Performance metrics. Analysis of surface reaction mechanisms and complex reaction networks. Structure-function relationships for supported metal and zeolite catalysts. Synthesis and characterization of heterogeneous catalysts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    152A. 
                        Process Dynamics and Control                                                                                                                                                                                                     
                
                
		
                    (4)
                        DOYLE 
                             Prerequisite: Chemical Engineering 120A-B-C and 140A.                                                                                                                                                                                                                                                                                                                                                
                            
                    
                        Development of theoretical and empirical models for chemical and physical  processes, dynamic behavior of processes, transfer function and block      diagram representation, process instrumentation, control system design and analysis, stability analysis, computer simulation of controlled processes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    152B. 
                        Advanced Process Control                                                                                                                                                                                                         
                
                
		
                    (3)
                        DOYLE 
                             Prerequisite: Chemical Engineering 152A.                                                                                                                                                                                                                                                                                                                                                             
                            
                    
                        The theory, design, and experimental application of advanced process       control   strategies including feedforward control, cascade control,       enhanced single-  loop strategies, and model predictive control. Analysis  of multi-loop control   systems.  Introduction to on-line optimization.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
                    
                
	
            "
